,SCORE
CyberArk,5.392857142857143
Nitromia,2.217391304347826
Matchbox Streaming,7.652173913043479
GlobeKeeper,6.321428571428573
Votiro Cybersec,5.964285714285714
Argon Security,4.571428571428572
Comsec,5.478260869565218
Crusoe Security,5.608695652173914
Varonis Systems,5.392857142857143
ARMO,5.571428571428572
Komodo Consulting,5.82608695652174
BigID,7.214285714285714
enSilo,7.750000000000002
CyberNite,3.086956521739131
Cympire,5.695652173913044
InnoSec,5.678571428571429
SNDBOX,5.0
Kameleon Security,3.0714285714285716
Hysolate,7.500000000000001
Aurora Labs,5.214285714285714
Nyotron,5.964285714285714
High Sec Labs,5.82608695652174
AI-PREDATOR,2.6521739130434785
Enc.AI,2.5652173913043477
L1ght,3.5714285714285716
Wise-Mon,5.82608695652174
At-Bay,7.214285714285714
Cyber 2.0,5.964285714285714
Iris Shield,4.391304347826088
Syber.ai,5.0
Findings,5.571428571428572
Kape Technologies,5.478260869565218
Cyber Observer,6.25
Cyber Innovative Technologies,5.571428571428572
Hunters,7.000000000000001
Cyberbit,4.821428571428572
Wiz,3.714285714285715
infiniDome,7.214285714285714
Be Strategic Solutions,5.0
GuardKnox,6.071428571428572
Cynomi,3.086956521739131
Celare Cyber Systems,7.652173913043479
AtmoSec,2.0434782608695654
Salt Security,5.964285714285714
Check Point Software Technologies,5.478260869565218
VeeWear,3.173913043478261
TripleCyber,7.464285714285715
Merlinx,5.913043478260871
CyberX,7.750000000000002
Ayehu Software Technologies,6.25
Rescana,5.608695652173914
IOT Armor Dome,1.6086956521739129
Sabres Security,4.086956521739131
Centraleyes,6.071428571428572
Cyolo,6.214285714285715
GYTpol,2.5652173913043477
CardinalOps,4.000000000000001
SenseCy,7.652173913043479
Sasa Software,8.000000000000002
Reflectiz,7.214285714285714
Lightspin,5.142857142857144
QPrivacy,5.571428571428572
Namogoo,7.464285714285715
Regulus Cyber,7.500000000000001
CCUREx,2.3043478260869565
Cypago Security,2.5714285714285716
Doxin,3.7826086956521747
iXDen,5.500000000000001
Wist Network,5.0
ReviveSec,1.956521739130435
Sternum,7.000000000000001
Cyabra,5.571428571428572
BATM,5.478260869565218
MinerEye,5.964285714285714
Enquantum,2.5714285714285716
SecBI,7.464285714285715
Securepush,4.821428571428572
Brandefender,2.5652173913043477
Kazuar,5.913043478260871
IntSights,5.964285714285714
Claroty,7.464285714285715
CYREBRO,7.750000000000002
Assac Networks,5.678571428571429
Cycode,4.214285714285714
Hermetric,7.652173913043479
Kovrr,7.214285714285714
Rayzone Group,5.82608695652174
Cylus,6.714285714285715
Checkmarx,6.25
Comtec,5.478260869565218
Grip Security,3.4285714285714293
EverC,6.25
Suridata.ai,5.071428571428572
VisibleRisk,6.214285714285715
NOVELSAT,5.82608695652174
NSO Group,4.821428571428572
Asparna,5.107142857142858
Elefend Security,3.695652173913044
FortifyIQ,1.0
Talon Cyber Security,2.5714285714285716
Cybring Labs,3.6086956521739135
ARTcybe,2.217391304347826
Riskified,6.892857142857143
Blaick Technologies,6.071428571428572
Millworx,1.6086956521739129
DoControl,5.714285714285714
Secret Double Octopus,6.25
Duality Technologies,7.500000000000001
Akita,6.071428571428572
SeeMetrics,4.130434782608696
Cervello,5.571428571428572
CYMOTIVE Technologies,7.000000000000001
Enso Security,4.571428571428572
Waterfall Security Solutions,4.821428571428572
Cyronix,1.956521739130435
Perytons,5.678571428571429
MyPrivacy,7.464285714285715
PixMole Technologies,4.391304347826088
Satori Cyber,5.642857142857143
SensePass,5.571428571428572
PerimeterX,7.464285714285715
Reposify,6.071428571428572
Nation-E,7.652173913043479
Portnox,5.82608695652174
Argus Cyber Security,7.750000000000002
Cognni,5.571428571428572
QuantumLeap,1.0
ClickCease,7.652173913043479
ECI Telecom,5.392857142857143
Alcide,7.214285714285714
InCyber,6.071428571428572
Verifyoo,4.25
AirEye,6.214285714285715
Silicom,5.478260869565218
Sodipass,3.5217391304347827
eLoomina,3.0714285714285716
Control's Force,4.821428571428572
CyberMDX,7.214285714285714
Vdoo,6.428571428571429
Israel Aerospace Industries,5.478260869565218
Cybersixgill,7.750000000000002
SEGURO Cyber Industries,4.086956521739131
Cyber Meters Networks,2.7391304347826093
Orca Security,6.214285714285715
Telicomm,5.214285714285715
Arilou Technologies,5.82608695652174
EdgeHawk Security,4.571428571428572
NetNut,5.0
AC/DC_net,5.82608695652174
PlainID,7.464285714285715
AGAT Software,7.652173913043479
DocAuthority,7.464285714285715
NanoLock Security,7.000000000000001
Mitiga,6.214285714285715
WhiteSource,5.964285714285714
Enigma,5.500000000000001
Cybereason,7.464285714285715
beame.io,4.782608695652175
Reason Cybersecurity,7.652173913043479
SENSE,6.321428571428573
TrulyProtect,7.17857142857143
BLST Security,1.3478260869565217
Gita Technologies,5.82608695652174
Cywareness,3.086956521739131
Plexivo,2.5652173913043477
Terafence,4.821428571428572
Ekron Software,1.3478260869565217
YazamTech,5.82608695652174
Imvision,7.214285714285714
Sital Technology,5.82608695652174
DeepKeep,1.0
Naval Dome,6.071428571428572
Siemplify,5.964285714285714
Sepio Systems,7.214285714285714
KELA Group,5.678571428571429
Noname Security,4.0
SIGA,7.750000000000002
TrackerDetect,4.571428571428572
StarkWare Industries,7.000000000000001
Xpandion,5.82608695652174
Cybellum,7.214285714285714
Raz-Lee Security,5.478260869565218
BGProtect,7.652173913043479
SigmaDots,3.6086956521739135
RestCase,4.304347826086958
OcuCloud,5.608695652173914
BLER,7.652173913043479
Boardish,4.391304347826088
BitMint,2.0000000000000004
VikiSense,6.321428571428573
Aqua Security,5.964285714285714
Perception Point,6.25
XM Cyber,6.25
Webhose,5.913043478260871
QuantLR,5.000000000000001
Authomize,6.214285714285715
Cider Security,2.5714285714285716
Skybox Security,5.964285714285714
Transmit Security,7.464285714285715
Simplex,7.464285714285715
CyCognito,7.000000000000001
SecuredTouch,7.464285714285715
Beyond Security,5.82608695652174
C2A Security,7.214285714285714
CyberTag,5.0
7Ci,1.0
L7 Defense,5.964285714285714
Strattic,6.071428571428572
Tartico,5.0
nSure.ai,3.0714285714285716
Vulcan Cyber,7.000000000000001
Kaymera,7.464285714285715
ELTA Systems,5.478260869565218
Cynamics,5.000000000000001
NICE,5.478260869565218
SCADASudo,4.086956521739131
MindoLife IoT,7.17857142857143
Adaptive Shield,6.214285714285715
Mobile Crypto,5.82608695652174
odix,7.464285714285715
Panorays,7.500000000000001
Deep Instinct,5.964285714285714
ShieldIOT,5.000000000000001
FRANCISCO VENTURES,3.695652173913044
TrapX Security,6.25
Ananda Networks,5.571428571428572
Radware,5.478260869565218
SAFEMIND Cybersecurity,1.3478260869565217
ERM Advanced Telematics,5.478260869565218
CYBONET,5.82608695652174
Kindite,5.571428571428572
Digital Confidence,5.82608695652174
Curv,6.714285714285715
Opora Technologies,6.321428571428573
Fireblocks,6.714285714285715
Spectral Cyber Technologies,5.714285714285714
CyTwist,5.217391304347826
SafeRide Technologies,7.695652173913044
Celestya,7.652173913043479
Protected Media,6.321428571428573
empow,7.750000000000002
Purpose Security,1.6086956521739129
Pentera,6.25
Snyk,5.964285714285714
Tufin,5.392857142857143
PAI-TECH,2.217391304347826
Quality Bytes,5.82608695652174
monogoto,5.571428571428572
JpU,6.304347826086957
BUFFERZONE,6.25
Cognyte,5.173913043478262
Hudson Rock,4.391304347826088
Safe-T,6.892857142857143
Symania,2.5652173913043477
Ottopia,4.428571428571429
Toka,6.428571428571429
Sayata Labs,7.214285714285714
ForeScout,5.964285714285714
Psyber Solutions,1.0
FirstPoint Mobile Guard,6.071428571428572
Cydome Security,6.071428571428572
LYNX.io,2.5652173913043477
Bridgecrew,5.642857142857143
MediGate,7.000000000000001
Deceptive Bytes,6.071428571428572
Cyren,5.392857142857143
1touch.io,6.714285714285715
Immue,1.3478260869565217
ArcusTeam,5.000000000000001
EasySec Solutions,5.695652173913044
Source Defense,7.464285714285715
Cynergy,3.695652173913044
Commugen,5.678571428571429
apiiro,6.214285714285715
Mobilicom,5.392857142857143
RevenueStream,6.321428571428573
BitDam,4.821428571428572
Surance.io,2.5652173913043477
SAM Seamless Network,7.500000000000001
ComSignTrust,5.82608695652174
Minerva Labs,7.464285714285715
GamaSec,5.82608695652174
ThetaRay,7.464285714285715
Secunity.io,1.3478260869565217
CardLatch,1.956521739130435
Coronet,8.347826086956523
BIS Guard,5.82608695652174
Random Quantum,5.0
Cybint,7.464285714285715
torq,5.642857142857143
Protex Cybersecurity,1.0
Cynet,5.964285714285714
SMUFS Biometric Solutions,5.82608695652174
Cognitive ID,5.608695652173914
Cipherra Development,5.913043478260871
Rezilion,6.714285714285715
Unbound Tech,7.750000000000002
VirusBay,5.0
Dcoya,5.82608695652174
GuardiCore,7.464285714285715
Avanan,7.750000000000002
Intelici,3.0714285714285716
CyberInt,6.25
AWARE,1.0
Cyber-Dome,7.652173913043479
SafeHouse Technologies,5.571428571428572
Cigloo,4.086956521739131
Hola,5.964285714285714
Senstar Technologies,5.478260869565218
Silverfort,7.500000000000001
Meydax,7.652173913043479
Build.security,4.571428571428572
G-STAT,5.478260869565218
Cybergames,3.6086956521739135
ZenGo,6.714285714285715
Cyrus,4.478260869565218
Cyberfish,5.571428571428572
nsKnox,5.964285714285714
NeuraLegion,5.571428571428572
Zimperium,5.964285714285714
Sonarax,6.321428571428573
NextNine,5.964285714285714
BrandShield,4.821428571428572
SecureTeam,5.82608695652174
SuperCom,5.392857142857143
XAIO,1.933333333333333
Actifile,4.821428571428572
Cyberwrite,5.571428571428572
Awrora,3.7826086956521747
Guardio,5.0
HUB Security,6.142857142857143
Retruster,5.571428571428572
SentinelOne,6.892857142857143
Flowhow,2.5714285714285716
Paygilant,5.964285714285714
QSM Programming,5.82608695652174
Cobwebs Technology,5.964285714285714
Next-Dim,4.391304347826088
Salvador Technologies,4.478260869565218
Quttera,5.82608695652174
Cymulate,7.214285714285714
SecuriThings,7.214285714285714
Dustico,3.086956521739131
Karamba Security,7.500000000000001
CommuniTake Technologies,6.25
Armis,5.964285714285714
RAD,5.478260869565218
SCADAfence,7.750000000000002
Cyberm8,2.0434782608695654
Perimeter 81,7.750000000000002
Cyberpion,6.071428571428572
Reblaze,5.964285714285714
SecurityDAM,7.652173913043479
BioCatch,5.964285714285714
ITsMine,5.571428571428572
AU10TIX,5.678571428571429
Cato Networks,5.964285714285714
Cronus Cyber Technologies,7.464285714285715
Allot,5.392857142857143
Logz.io,7.464285714285715
ACID Technologies,5.913043478260871
Solvo,4.571428571428572
OTORIO,5.0
White Cyber Knight,5.82608695652174
COPA,5.0
Orchestra Group,4.714285714285714
ContextSpace Solutions,4.086956521739131
SecuPi,5.913043478260871
infinipoint,5.071428571428572
Hardenite,5.0
AlgoSec,5.678571428571429
Axonius,6.714285714285715
Mine,6.714285714285715
MultiSense,4.782608695652175
VALIRE SOFTWARE,4.821428571428572
Zero Networks,5.071428571428572
E.S. Embedded Solutions,3.6
Airo Security,3.6086956521739135
AppDome,7.464285714285715
Upstream Security,6.142857142857144
Continuity Software,5.964285714285714
Cynerio,7.000000000000001
Forter,7.464285714285715
Ericom Software,5.478260869565218
Comda,5.478260869565218
Apolicy,5.071428571428572
Radiflow,6.25
SafeBreach,7.464285714285715
Axis Security,6.714285714285715
Cybear Networks,6.304347826086957
SIRIN LABS,6.321428571428573
VADO Security Technologies,5.82608695652174
Nunetz,5.608695652173914
Cymptom,5.071428571428572
Caligo Systems,3.6086956521739135
SpecterX,5.695652173913044
Safend,5.964285714285714
ReSec Technologies,7.464285714285715
Cyround Technologies,2.217391304347826
CloudAlly,5.82608695652174
CipherSiP,2.5652173913043477
CybeReady,7.464285714285715
Inpedio,7.214285714285714
Octopus Systems,7.464285714285715
Nubo Software,5.964285714285714
Infobay,5.82608695652174
IsItYou,6.321428571428573
D-ID,6.142857142857144
QUASAR VISION,1.0
Barrel Protocol,5.571428571428572
TrustPeers,5.071428571428572
Securely,5.608695652173914
CYE,7.464285714285715
Enigmatos,4.086956521739131
Intezer,6.25
Cybrid Security,1.6956521739130437
LiquidEOS,2.5652173913043477
Chain Reaction,3.0714285714285716
AGS Encryptions,5.82608695652174
Gama Operations,5.82608695652174
Radix Technologies,5.82608695652174
Vaulto Technologies,4.086956521739131
AdVerif.AI,4.652173913043479
CRITIFENCE Technologies,5.608695652173914
Shibozo,3.7826086956521747
ZecOps,5.571428571428572
Pandora Security,1.0
Verint Systems,5.478260869565218
Magnisec,4.391304347826088
MazeBolt,6.321428571428573
Vicarius,6.071428571428572
Illusive Networks,7.750000000000002
GK8,5.571428571428572
WireX Systems,5.964285714285714
OttoSec,2.0434782608695654
Ermetic,3.928571428571429
CybroSec,2.217391304347826
CalCom,5.82608695652174
SecureNative,5.695652173913044
Imperva,5.392857142857143
Morphisec,7.464285714285715
Indeni,6.25
IRONSCALES,7.750000000000002
Firedome,6.142857142857144
authorizon,1.3478260869565217
CGS Tower Networks,5.913043478260871
CISOteria,5.0
AKEYLESS,6.714285714285715
Semperis,7.750000000000002
SBN Signature Biometrics,5.0
WizLAN,5.82608695652174
Identiq,6.142857142857144
IntelFinder,4.086956521739131
Cy-oT,4.782608695652175
